ques,op1,op2,op3,op4,op5,"m,n",ans,sol,topic
"<p> <font face=""Cambria Math, serif"">On heating with aqueous alkali, chloroform yields:</font></p>",   HCHO   ,   HCOOH   ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_aaad45a64c14ce88.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_271e62c8068395cd.gif""/>     ",,,2 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_be053a60d91493f6.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">A keto ester </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fa257a17bef1b597.gif""/> <font face=""Cambria Math, serif""> with molecular formula </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_30312513877659e1.gif""/> <font face=""Cambria Math, serif""> on treatment with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4f0bc29fafd8f721.gif""/> <font face=""Cambria Math, serif""> does not give iodoform but on boiling with dilute KOH gives a compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5a94ce7bbc449fca.gif""/> <font face=""Cambria Math, serif""> with molecular formula </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5e55c9dc55399690.gif""/> <font face=""Cambria Math, serif""> which upon acidification followed by heating undergoes decarboxylation to give acetone. The keto ester </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fa257a17bef1b597.gif""/> <font face=""Cambria Math, serif""> is</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d05d50be23a500b3.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c9e5591dd76d5ab.gif""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_575cb26dbb1148f8.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c8a469f721181e02.gif""/>     ",,,2 ," <p align=""justify""> <img align=""bottom"" height=""268"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a5a640875cf7c1.gif"" width=""285""/> </p> <p align=""justify""><font face=""Cambria Math, serif"">The keto-ester </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fa257a17bef1b597.gif""/> <font face=""Cambria Math, serif""> does not give haloform reaction inspite of the presence of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_556f652fea587d59.gif""/> <font face=""Cambria Math, serif""> group in it. The reason is the presence of active methylene group </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_292a8e9c8930949d.gif""/> <font face=""Cambria Math, serif"">), which prevents the conversion of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6e1cf5ca0199d8b8.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">In the reaction, </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ceaf96b0be2f8f40.gif""/> <font face=""Cambria Math, serif""> is</font></p>",   <i>meta-</i>formaldehyde   ,   <i>para-</i>formaldehyde   ,   urotropine   ,   None of these    ,,,3 ," <p> <font face=""Cambria Math, serif"">Formaldehyde reacts with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c98fae0de4fc8165.gif""/> <font face=""Cambria Math, serif""> to form urotropine which is used as medicine to cure urinary infections.</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f48d8043bea824ff.gif""/> </p> <p> <font face=""Cambria Math, serif""><font>Formaldehyde ammonia hexamethylene</font></font></p> <p> <font face=""Cambria Math, serif""><font>tetramine urotropine </font></font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_af2a0fbab6379b92.gif""/> <font face=""Cambria Math, serif"">product</font></p> <p><font face=""Cambria Math, serif"">The product in the above reaction is</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_34db8adf9342244c.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_74e022603687b4c4.gif""/>          ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_afdf6a594349dbbd.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1882073eaa9cc1ed.gif""/>     ",,,4," <p> <font face=""Cambria Math, serif"">Aldehydes and ketones having </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_56e4dc37afee54d6.gif""/> <font face=""Cambria Math, serif"">-hydorgen atom undergo aldol condensation in presence of dilute base</font></p> <p><img align=""bottom"" height=""97"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_cb5e88474925c942.gif"" width=""285""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">One mole of an organic compound requires 0.5 mole of oxygen to produce an acid. The compound may be:</font></p>",   Alcohol     ,   Ether     ,   Ketone     ,   Aldehyde      ,,,4 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7c2ed09fcd0d74c6.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Acetic acid reacts with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7f0e8e545eb88f70.gif""/> <font face=""Cambria Math, serif""> to form</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6447a29a571aa880.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_28c4271c72216d24.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f8b723ec062db7c4.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_dc46156ba64c447a.gif""/>     ",,,3 ," <p> <font face=""Cambria Math, serif"">Acetic acid reacts with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7f0e8e545eb88f70.gif""/> <font face=""Cambria Math, serif""> to form acetyl chloride.</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_63137943079e1eb9.gif""/> </p> <p> <font face=""Cambria Math, serif""><font>acetic acid acetyl chloride</font></font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The calcium salt of the final oxidation product of ethanol on dry distillation gives: </font> ",   Formaldehyde     ,   Acetaldehyde     ,   Acetone     ,   Formic acid      ,,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Coal-tar is obtained as by product during :</font></p>",   Destructive distillation of wood           ,   Destructive distillation of coal           ,   Destructive distillation of bones         ,   None of the above      ,,,2,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_facb406ebff330bf.gif""/> <font face=""Cambria Math, serif"">can be distinguished by:</font></p>",   Flame test     ,   Solubility in water   ,   Physical state   ,   All of these      ,,,4 ," <p align=""justify""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1b849c8cf0ccd300.gif""/> <font face=""Cambria Math, serif"">is solid, less soluble in water and burn with smoky flame. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9390205b46a0f5b6.gif""/> ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4d9a04235bd2bb5a.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1bcbb01d9eb1433e.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_134c49b60e709a01.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2513e38928b5f4c6.gif""/>     ",,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
